ref,state,constituency,won status,votes,(votes),Name,Party Name
1,Ladakh,Ladakh(1),won,65259,(+ 27862),MOHMAD HANEEFA,Independent
2,Ladakh,Ladakh(1),lost,37397,( -27862),TSERING NAMGYAL,Indian National Congress
3,Ladakh,Ladakh(1),lost,31956,( -33303),TASHI GYALSON,Bharatiya Janata Party
4,Ladakh,Ladakh(1),,912,( -64347),NOTA,None of the Above
5,Kerala,Kollam(18),won,443628,(+ 150302),N K PREMACHANDRAN,Revolutionary Socialist Party
6,Kerala,Kollam(18),lost,293326,( -150302),M MUKESH,Communist Party of India  (Marxist)
7,Kerala,Kollam(18),lost,163210,( -280418),KRISHNAKUMAR G,Bharatiya Janata Party
8,Kerala,Kollam(18),lost,2194,( -441434),VIPINLAL VIDHYADHARAN,Bahujan Samaj Party
9,Kerala,Kollam(18),lost,1734,( -441894),PREMACHANDRAN NAIR,Independent
10,Kerala,Kollam(18),lost,1374,( -442254),GOKULAM SURESH KUMAR,Independent
11,Kerala,Kollam(18),lost,835,( -442793),PRADEEP KOTTARAKKARA,Bharatheeya Jawan Kisan Party
12,Kerala,Kollam(18),lost,708,( -442920),TWINKLE PRABHAKARAN,Socialist Unity Centre Of India (COMMUNIST)
13,Kerala,Kollam(18),lost,579,( -443049),BRO NOUSHAD  SHERIFF J,Independent
14,Kerala,Kollam(18),lost,559,( -443069),JOSE SARANATH,Ambedkarite Party of India
15,Kerala,Kollam(18),lost,549,( -443079),P KRISHNAMMAL,Marxist Communist Party of India (United)
16,Kerala,Kollam(18),lost,449,( -443179),N JAYARAJAN,Independent
17,Kerala,Kollam(18),,6546,( -437082),NOTA,None of the Above
18,Karnataka,Kolar(28),won,691481,(+ 71388),M. MALLESH BABU,Janata Dal  (Secular)
19,Karnataka,Kolar(28),lost,620093,( -71388),K V GOWTHAM,Indian National Congress
20,Karnataka,Kolar(28),lost,6487,( -684994),SUMAN H N,Independent
21,Karnataka,Kolar(28),lost,6163,( -685318),HOLUR SRINIVASA,Independent
22,Karnataka,Kolar(28),lost,4732,( -686749),S B SURESHA,Bahujan Samaj Party
23,Karnataka,Kolar(28),lost,4597,( -686884),K R DEVARAJA,Delhi Janta Party
24,Karnataka,Kolar(28),lost,3354,( -688127),DR M. VENKATASWAMY,Independent
25,Karnataka,Kolar(28),lost,2118,( -689363),R RANJITHKUMAR,Independent
26,Karnataka,Kolar(28),lost,1985,( -689496),S N NARAYANASWAMY V,Independent
27,Karnataka,Kolar(28),lost,1669,( -689812),D GOPALAKRISHNA,Socialist Party (India)
28,Karnataka,Kolar(28),lost,1354,( -690127),DEVARAJA A ALUSURUDINNE,Uttama Prajaakeeya Party
29,Karnataka,Kolar(28),lost,1116,( -690365),M S BADARINARAYANA,Independent
30,Karnataka,Kolar(28),lost,1065,( -690416),MAHESH A V,Karnataka Rashtra Samithi
31,Karnataka,Kolar(28),lost,864,( -690617),THIMMARAYAPPA,Republican Party of India (Karnataka)
32,Karnataka,Kolar(28),lost,751,( -690730),R RAJENDRA,Independent
33,Karnataka,Kolar(28),lost,604,( -690877),M MUNIGANGAPPA,Independent
34,Karnataka,Kolar(28),lost,521,( -690960),M  C HALLI VENU,Viduthalai Chiruthaigal Katchi
35,Karnataka,Kolar(28),lost,443,( -691038),KRISHNAIAH N,Independent
36,Karnataka,Kolar(28),,5831,( -685650),NOTA,None of the Above
37,Jharkhand,Giridih(6),won,451139,(+ 80880),CHANDRA PRAKASH CHOUDHARY,AJSU Party
38,Jharkhand,Giridih(6),lost,370259,( -80880),MATHURA PRASAD MAHATO,Jharkhand Mukti Morcha
39,Jharkhand,Giridih(6),lost,347322,( -103817),JAIRAM KUMAR MAHATO,Independent
40,Jharkhand,Giridih(6),lost,14074,( -437065),KAMAL PRASAD,Bahujan Samaj Party
41,Jharkhand,Giridih(6),lost,13106,( -438033),SUBODH KUMAR YADAV,Independent
42,Jharkhand,Giridih(6),lost,11020,( -440119),RAMESHWAR DUSADH,Independent
43,Jharkhand,Giridih(6),lost,10944,( -440195),SUNITA TUDU,Independent
44,Jharkhand,Giridih(6),lost,6939,( -444200),MD AINUL ANSARI,Bahujan Mukti Party
45,Jharkhand,Giridih(6),lost,5627,( -445512),DWARAKA PRASAD LALA,Independent
46,Jharkhand,Giridih(6),lost,5430,( -445709),KALAWATI DEVI,Independent
47,Jharkhand,Giridih(6),lost,5356,( -445783),GYANESHWAR PRASAD,Lokhit Adhikar Party
48,Jharkhand,Giridih(6),lost,4254,( -446885),SHIVJI PRASAD,Right to Recall Party
49,Jharkhand,Giridih(6),lost,3825,( -447314),PRAMOD RAM,Peoples Party of India (Democratic)
50,Jharkhand,Giridih(6),lost,3761,( -447378),USHA SINGH,Independent
51,Jharkhand,Giridih(6),lost,3216,( -447923),PAPPU KUMAR NISHAD,Bhartiya Lokmat Rashtrwadi Party
52,Jharkhand,Giridih(6),lost,2517,( -448622),SUBHASH KUMAR THAKUR,Sarv Samaj Party
53,Jharkhand,Giridih(6),,6044,( -445095),NOTA,None of the Above
54,Jammu and Kashmir,BARAMULLA(1),won,472481,(+ 204142),ABDUL RASHID SHEIKH,Independent
55,Jammu and Kashmir,BARAMULLA(1),lost,268339,( -204142),OMAR ABDULLAH,Jammu & Kashmir National Conference
56,Jammu and Kashmir,BARAMULLA(1),lost,173239,( -299242),SAJAD GANI LONE,Jammu & Kashmir People Conference
57,Jammu and Kashmir,BARAMULLA(1),lost,27488,( -444993),MIR MOHAMMAD FAYAZ,Jammu & Kashmir Peoples Democratic Party
58,Jammu and Kashmir,BARAMULLA(1),lost,21618,( -450863),SURAIYA NISSAR,Independent
59,Jammu and Kashmir,BARAMULLA(1),lost,15722,( -456759),FIRDOUS AHMAD BHAT,Independent
60,Jammu and Kashmir,BARAMULLA(1),lost,6214,( -466267),SHAFEEQA BEGUM,Independent
61,Jammu and Kashmir,BARAMULLA(1),lost,5566,( -466915),PEERZADA MUDASIR RASHID SHAH,Jammu & Kashmir National Panthers Party (Bhim)
62,Jammu and Kashmir,BARAMULLA(1),lost,4268,( -468213),KHURSHEED AHMAD SHAH,Rashtriya Jankranti Party
63,Jammu and Kashmir,BARAMULLA(1),lost,4063,( -468418),MOHAMMAD SULTAN GANAIE,Independent
64,Jammu and Kashmir,BARAMULLA(1),lost,3670,( -468811),SHADIB HANIEF KHAN,Independent
65,Jammu and Kashmir,BARAMULLA(1),lost,3218,( -469263),MUDASIR AHMAD TANTARY,Independent
66,Jammu and Kashmir,BARAMULLA(1),lost,2983,( -469498),NAZIR AHMAD SOFI,Independent
67,Jammu and Kashmir,BARAMULLA(1),lost,2700,( -469781),SHABIR AHMAD DAR,Independent
68,Jammu and Kashmir,BARAMULLA(1),lost,2689,( -469792),HILAL AHMAD WAGAY,Independent
69,Jammu and Kashmir,BARAMULLA(1),lost,2570,( -469911),MEHRAJ UDDIN NAJAR,Independent
70,Jammu and Kashmir,BARAMULLA(1),lost,2417,( -470064),SYED AMEER SUHAIL,Independent
71,Jammu and Kashmir,BARAMULLA(1),lost,2343,( -470138),FAROOQ AHMAD BHAT,National Youth Party
72,Jammu and Kashmir,BARAMULLA(1),lost,2241,( -470240),ARUN KUMAR RAINA,Independent
73,Jammu and Kashmir,BARAMULLA(1),lost,2019,( -470462),MUNIR AHMAD KHAN,Jammu and Kashmir Nationalist People's Front
74,Jammu and Kashmir,BARAMULLA(1),lost,1671,( -470810),MUZAFFAR HUSSAIN DAR,Independent
75,Jammu and Kashmir,BARAMULLA(1),lost,1397,( -471084),MUSHTAQ AHMAD MIR,National Loktantrik Party
76,Jammu and Kashmir,BARAMULLA(1),,4984,( -467497),NOTA,None of the Above
77,Himachal Pradesh,SHIMLA(4),won,519748,(+ 91451),Suresh Kumar Kashyap,Bharatiya Janata Party
78,Himachal Pradesh,SHIMLA(4),lost,428297,( -91451),Vinod Sultanpuri,Indian National Congress
79,Himachal Pradesh,SHIMLA(4),lost,6500,( -513248),Anil Kumar Manget,Bahujan Samaj Party
80,Himachal Pradesh,SHIMLA(4),lost,4814,( -514934),Suresh Kumar,Rashtriya Devbhumi Party
81,Himachal Pradesh,SHIMLA(4),lost,4676,( -515072),Madan Lal,Akhil Bhartiya Parivar Party
82,Himachal Pradesh,SHIMLA(4),,5930,( -513818),NOTA,None of the Above
83,Haryana,FARIDABAD(10),won,788569,(+ 172914),KRISHAN PAL,Bharatiya Janata Party
84,Haryana,FARIDABAD(10),lost,615655,( -172914),MAHENDER PRATAP SINGH,Indian National Congress
85,Haryana,FARIDABAD(10),lost,25206,( -763363),KISHAN THAKUR,Bahujan Samaj Party
86,Haryana,FARIDABAD(10),lost,8085,( -780484),SUNIL TEWATIA,Indian National Lok Dal
87,Haryana,FARIDABAD(10),lost,5361,( -783208),NALIN HOODA,Jannayak Janta Party
88,Haryana,FARIDABAD(10),lost,2955,( -785614),SAWATANTAR SINGH CHAUHAN,Jan Shakti Dal
89,Haryana,FARIDABAD(10),lost,2108,( -786461),NEERAJ JATAV,Independent
90,Haryana,FARIDABAD(10),lost,1584,( -786985),HARI SHANKER RAJVANS,Adim Bhartiya Dal
91,Haryana,FARIDABAD(10),lost,1458,( -787111),ATUL,Independent
92,Haryana,FARIDABAD(10),lost,1444,( -787125),PANDIT SUMIT KUMAR SHARMA,AARAKSHAN VIRODHI PARTY
93,Haryana,FARIDABAD(10),lost,1380,( -787189),BRIJABALA,Peoples Party of India (Democratic)
94,Haryana,FARIDABAD(10),lost,1247,( -787322),SHYAM SUNDER SINGH,Bhartiya Shakti Chetna Party
95,Haryana,FARIDABAD(10),lost,1240,( -787329),MAHESH PRATAP SHARMA,Rashtriya Vikas Party
96,Haryana,FARIDABAD(10),lost,955,( -787614),SATAY DEO YADAV,Buland Bharat Party
97,Haryana,FARIDABAD(10),lost,924,( -787645),RANDHEER SINGH ALIAS DHEERU KHATANA,Akhil Bhartiya Kisan Majdoor Party
98,Haryana,FARIDABAD(10),lost,889,( -787680),SUNIL KUMAR,Independent
99,Haryana,FARIDABAD(10),lost,808,( -787761),BHARAT BHUSHAN KOLI,Rashtra Nirman Party
100,Haryana,FARIDABAD(10),lost,771,( -787798),SHIV NARAYAN BABA DUBEY,Kisan Mazdoor Sangharsh Party
101,Haryana,FARIDABAD(10),lost,756,( -787813),GYAN CHAND BAINSLA,Samrat Mihir Bhoj Samaj Party
102,Haryana,FARIDABAD(10),lost,663,( -787906),RAJESH GAUTAM,Independent
103,Haryana,FARIDABAD(10),lost,663,( -787906),SWAMI RAJENDRA DEV JI,Independent
104,Haryana,FARIDABAD(10),lost,615,( -787954),LEKHRAM DABANG,Independent
105,Haryana,FARIDABAD(10),lost,614,( -787955),GIRRAJ,Independent
106,Haryana,FARIDABAD(10),lost,551,( -788018),SHAKILA HUSSAIN,Loktantrik Janshakti Party
107,Haryana,FARIDABAD(10),,6821,( -781748),NOTA,None of the Above
108,Gujarat,Banaskantha(2),won,671883,(+ 30406),GENIBEN NAGAJI THAKOR,Indian National Congress
109,Gujarat,Banaskantha(2),lost,641477,( -30406),DR. REKHABEN HITESHBHAI CHAUDHARI,Bharatiya Janata Party
110,Gujarat,Banaskantha(2),lost,9929,( -661954),MANSUNGBHAI MASHRUBHAI PARMAR,Bahujan Samaj Party
111,Gujarat,Banaskantha(2),lost,7696,( -664187),RATHOD MAVJI BHEMAJI,Independent
112,Gujarat,Banaskantha(2),lost,5481,( -666402),SHRIMALI ASHOKBHAI BALCHANDBHAI,Independent
113,Gujarat,Banaskantha(2),lost,4626,( -667257),JASUBHAI GAMAR,Bharat Adivasi Party
114,Gujarat,Banaskantha(2),lost,3513,( -668370),PATEL PIYUSHBHAI KARSHANBHAI,Bharatiya Yuva Jan Ekta Party
115,Gujarat,Banaskantha(2),lost,3009,( -668874),BAJAG LASHABHAI LAVAJIBHAI,Independent
116,Gujarat,Banaskantha(2),lost,1823,( -670060),PRAVINBHAI ISHVARBHAI CHAUHAN,Swatantrata Abhivyakti Party
117,Gujarat,Banaskantha(2),lost,1591,( -670292),IBRAHIMBHAI PARASANI,Independent
118,Gujarat,Banaskantha(2),lost,1374,( -670509),PARMAR CHHAGANCHANDRARAJ,Independent
119,Gujarat,Banaskantha(2),lost,1334,( -670549),CHETANKUMAR KESHAVLAL OZA,Independent
120,Gujarat,Banaskantha(2),,22167,( -649716),NOTA,None of the Above
121,Goa,South Goa(2),won,217836,(+ 13535),CAPTAIN  VIRIATO FERNANDES,Indian National Congress
122,Goa,South Goa(2),lost,204301,( -13535),PALLAVI SHRINIVAS DEMPO,Bharatiya Janata Party
123,Goa,South Goa(2),lost,18885,( -198951),RUBERT PEREIRA,Revolutionary Goans Party
124,Goa,South Goa(2),lost,1581,( -216255),DR SWETA GAONKAR,Bahujan Samaj Party
125,Goa,South Goa(2),lost,1317,( -216519),DEEPKUMAR D MAPARI,Independent
126,Goa,South Goa(2),lost,720,( -217116),DR KALIDAS VAINGANKAR,Independent
127,Goa,South Goa(2),lost,542,( -217294),ALEXY FERNANDES,Independent
128,Goa,South Goa(2),lost,501,( -217335),HARISHCHANDRA SUDHAKAR NAIK,Corruption Abolition Party
129,Goa,South Goa(2),,4837,( -212999),NOTA,None of the Above
130,Dadra & Nagar Haveli and Daman & Diu,Daman & Diu (1),won,42523,(+ 6225),PATEL UMESHBHAI BABUBHAI,Independent
131,Dadra & Nagar Haveli and Daman & Diu,Daman & Diu (1),lost,36298,( -6225),LALUBHAI BABUBHAI PATEL,Bharatiya Janata Party
132,Dadra & Nagar Haveli and Daman & Diu,Daman & Diu (1),lost,11258,( -31265),KETAN DAHYABHAI PATEL,Indian National Congress
133,Dadra & Nagar Haveli and Daman & Diu,Daman & Diu (1),lost,545,( -41978),UMESH PATEL,Navsarjan Bharat Party
134,Dadra & Nagar Haveli and Daman & Diu,Daman & Diu (1),lost,323,( -42200),SAKIL LATIF KHAN,Independent
135,Dadra & Nagar Haveli and Daman & Diu,Daman & Diu (1),lost,247,( -42276),IDRISH G MULLA,Independent
136,Dadra & Nagar Haveli and Daman & Diu,Daman & Diu (1),lost,238,( -42285),PATEL UMESHBHAI BABU,Independent
137,Dadra & Nagar Haveli and Daman & Diu,Daman & Diu (1),,978,( -41545),NOTA,None of the Above
138,Chhattisgarh,KORBA(4),won,570182,(+ 43283),JYOTSNA CHARANDAS MAHANT,Indian National Congress
139,Chhattisgarh,KORBA(4),lost,526899,( -43283),SAROJ PANDEY,Bharatiya Janata Party
140,Chhattisgarh,KORBA(4),lost,48587,( -521595),SHYAM SINGH MARKAM,Gondvana Gantantra Party
141,Chhattisgarh,KORBA(4),lost,11268,( -558914),NIRDOSH  KUMAR YADAV,Independent
142,Chhattisgarh,KORBA(4),lost,10739,( -559443),DUJRAM BOUDDH,Bahujan Samaj Party
143,Chhattisgarh,KORBA(4),lost,6182,( -564000),JAICHANDRA SONPAKAR,Independent
144,Chhattisgarh,KORBA(4),lost,5709,( -564473),PALAN SINGH,Independent
145,Chhattisgarh,KORBA(4),lost,4988,( -565194),KAMAL DEV,Bhartiya Shakti Chetna Party
146,Chhattisgarh,KORBA(4),lost,3902,( -566280),DILIP MIRI,Independent
147,Chhattisgarh,KORBA(4),lost,3632,( -566550),KAUSHALYA BAI PORTE,Independent
148,Chhattisgarh,KORBA(4),lost,2504,( -567678),PRATAP BHANU,Independent
149,Chhattisgarh,KORBA(4),lost,2477,( -567705),SANTOSH SHARMA,Independent
150,Chhattisgarh,KORBA(4),lost,2232,( -567950),AMRIKA KARPE,Independent
151,Chhattisgarh,KORBA(4),lost,2202,( -567980),RAJGURU KEWAL GOSWAMI,Independent
152,Chhattisgarh,KORBA(4),lost,2073,( -568109),SHOBRAN SINGH SAIMA,Independent
153,Chhattisgarh,KORBA(4),lost,1964,( -568218),KALYAN SINGH TANWAR,Independent
154,Chhattisgarh,KORBA(4),lost,1814,( -568368),RAJESH PANDEY,Independent
155,Chhattisgarh,KORBA(4),lost,1685,( -568497),SUSHIL KUMAR VISHWAKARMA,Bhartiya Janta Secular Party
156,Chhattisgarh,KORBA(4),lost,1392,( -568790),PRASHANT DANIEL,Sarv Adi Dal
157,Chhattisgarh,KORBA(4),lost,1294,( -568888),REKHA TIWARI,Chhattisgarh Vikas Ganga Rashtriya Party
158,Chhattisgarh,KORBA(4),lost,1212,( -568970),PURUSHOTTAM MANIKPURI,Independent
159,Chhattisgarh,KORBA(4),lost,1204,( -568978),PRIYANKA PATEL,Republican Party of India (A)
160,Chhattisgarh,KORBA(4),lost,1187,( -568995),MAHENDRA KUMAR SHRIWAS (MANJU),Independent
161,Chhattisgarh,KORBA(4),lost,1168,( -569014),SHEKH RAUF,Independent
162,Chhattisgarh,KORBA(4),lost,1036,( -569146),SHIVPUJAN SINGH,Independent
163,Chhattisgarh,KORBA(4),lost,861,( -569321),SHANTI BAI MARAVI,Independent
164,Chhattisgarh,KORBA(4),lost,823,( -569359),RAMESH DAS MAHANT,Independent
165,Chhattisgarh,KORBA(4),,6097,( -564085),NOTA,None of the Above
166,Chandigarh,Chandigarh(1),won,216657,(+ 2504),MANISH TEWARI,Indian National Congress
167,Chandigarh,Chandigarh(1),lost,214153,( -2504),SANJAY TANDON,Bharatiya Janata Party
168,Chandigarh,Chandigarh(1),lost,6708,( -209949),RITU SINGH,Bahujan Samaj Party
169,Chandigarh,Chandigarh(1),lost,2626,( -214031),LAKHVIR SINGH ALIAS KOTLA,Independent
170,Chandigarh,Chandigarh(1),lost,1068,( -215589),DEEPANSHU SHARMA,Akhil Bhartiya Parivar Party
171,Chandigarh,Chandigarh(1),lost,1054,( -215603),EX-ASSISTANT COMMANDANT RANPREET SINGH,Independent
172,Chandigarh,Chandigarh(1),lost,683,( -215974),VINOD KUMAR,Independent
173,Chandigarh,Chandigarh(1),lost,577,( -216080),SUNIL THAMAN,Haryana Jansena Party
174,Chandigarh,Chandigarh(1),lost,436,( -216221),BALJEET SINGH ALIAS LADDI,Independent
175,Chandigarh,Chandigarh(1),lost,321,( -216336),SUNIL KUMAR,Independent
176,Chandigarh,Chandigarh(1),lost,307,( -216350),PARTAP SINGH RANA,Independent
177,Chandigarh,Chandigarh(1),lost,295,( -216362),MAHANT RAVI KANT MUNI,Independent
178,Chandigarh,Chandigarh(1),lost,294,( -216363),VIVEK SHARMA,Independent
179,Chandigarh,Chandigarh(1),lost,255,( -216402),PIAR CHAND ALIAS KOUNDAL,Independent
180,Chandigarh,Chandigarh(1),lost,239,( -216418),KISHOR KUMAR ALIAS BANTI BHAIYA,Independent
181,Chandigarh,Chandigarh(1),lost,217,( -216440),RAJINDER KAUR,Sainik Samaj Party
182,Chandigarh,Chandigarh(1),lost,205,( -216452),RAJ PRINCE SINGH,Super Power India Party
183,Chandigarh,Chandigarh(1),lost,154,( -216503),PUSHPINDER SINGH ALIAS LOVELY ATTAWA,Independent
184,Chandigarh,Chandigarh(1),lost,114,( -216543),KULDIP RAI ALIAS HAPPY SOOD MORINDA,Independent
185,Chandigarh,Chandigarh(1),,2912,( -213745),NOTA,None of the Above
186,Bihar,Purnia(12),won,567556,(+ 23847),RAJESH RANJAN ALIAS PAPPU YADAV,Independent
187,Bihar,Purnia(12),lost,543709,( -23847),SANTOSH KUMAR,Janata Dal  (United)
188,Bihar,Purnia(12),lost,27120,( -540436),BIMA BHARTI,Rashtriya Janata Dal
189,Bihar,Purnia(12),lost,10619,( -556937),ARUN DAS,Bahujan Samaj Party
190,Bihar,Purnia(12),lost,8459,( -559097),SATYENDRA YADAV,Independent
191,Bihar,Purnia(12),lost,7693,( -559863),NOMAN ALAM,Independent
192,Bihar,Purnia(12),lost,6854,( -560702),KISHOR KUMAR YADAV,All India Forward Bloc
193,Bihar,Purnia(12),,23834,( -543722),NOTA,None of the Above
194,Assam,Barpeta(3),won,860113,(+ 222351),PHANI BHUSAN CHOUDHURY,Asom Gana Parishad
195,Assam,Barpeta(3),lost,637762,( -222351),DEEP BAYAN,Indian National Congress
196,Assam,Barpeta(3),lost,96138,( -763975),MANORANJAN TALUKDAR,Communist Party of India  (Marxist)
197,Assam,Barpeta(3),lost,16432,( -843681),ABUL KALAM AZAD,All India Trinamool Congress
198,Assam,Barpeta(3),lost,9941,( -850172),DEWAN MOHIBUL ISLAM,Independent
199,Assam,Barpeta(3),lost,9692,( -850421),SAMEJ UDDIN,Bodoland Peoples Front
200,Assam,Barpeta(3),lost,9338,( -850775),DULU AHMED,Independent
201,Assam,Barpeta(3),lost,7935,( -852178),MATIAR RAHMAN,Independent
202,Assam,Barpeta(3),lost,5548,( -854565),JAGANNATH RAY,Independent
203,Assam,Barpeta(3),lost,4448,( -855665),SHAJAHAN ALI KHAN,Voters Party  International
204,Assam,Barpeta(3),lost,3192,( -856921),AYNAL HAQUE,Independent
205,Assam,Barpeta(3),lost,3131,( -856982),CHITRALEKHA DAS,Socialist Unity Centre Of India (COMMUNIST)
206,Assam,Barpeta(3),lost,2679,( -857434),AMZAD ALI,Republican Party of India (Athawale)
207,Assam,Barpeta(3),lost,2477,( -857636),ABUBAKKAR SIDDIQUE,Rashtriya Ulama Council
208,Assam,Barpeta(3),,17117,( -842996),NOTA,None of the Above
209,Arunachal Pradesh,Arunachal East(2),won,145581,(+ 30421),TAPIR GAO,Bharatiya Janata Party
210,Arunachal Pradesh,Arunachal East(2),lost,115160,( -30421),BOSIRAM SIRAM,Indian National Congress
211,Arunachal Pradesh,Arunachal East(2),lost,27603,( -117978),TAMAT GAMOH,Independent
212,Arunachal Pradesh,Arunachal East(2),lost,14213,( -131368),SOTAI KRI,Independent
213,Arunachal Pradesh,Arunachal East(2),lost,9369,( -136212),OMAK NITIK,Independent
214,Arunachal Pradesh,Arunachal East(2),lost,6622,( -138959),BANDEY MILI,Arunachal Democratic Party
215,Arunachal Pradesh,Arunachal East(2),,4895,( -140686),NOTA,None of the Above
216,Andhra Pradesh,Machilipatnam(11),won,724439,(+ 223179),BALASHOWRY VALLABHANENI,Janasena Party
217,Andhra Pradesh,Machilipatnam(11),lost,501260,( -223179),SIMHADRI CHANDRA SEKHAR RAO,Yuvajana Sramika Rythu Congress Party
218,Andhra Pradesh,Machilipatnam(11),lost,31825,( -692614),GOLLU KRISHNA,Indian National Congress
219,Andhra Pradesh,Machilipatnam(11),lost,11141,( -713298),BAAL SHOURI CHODABATHINA,Jatiya Jana Sena Party
220,Andhra Pradesh,Machilipatnam(11),lost,10028,( -714411),DEVAMANI DEVARAPALLI,Bahujan Samaj Party
221,Andhra Pradesh,Machilipatnam(11),lost,5254,( -719185),KOMMARAJU SIVA NARASIMHA RAO,All India Forward Bloc
222,Andhra Pradesh,Machilipatnam(11),lost,5220,( -719219),VALLABHANENI NAGA PAVAN KUMAR,Independent
223,Andhra Pradesh,Machilipatnam(11),lost,2214,( -722225),MARADANI K R SWAMY,Jai Maha Bharath Party
224,Andhra Pradesh,Machilipatnam(11),lost,1991,( -722448),GANDHI  DHANEKULA,Independent
225,Andhra Pradesh,Machilipatnam(11),lost,1582,( -722857),PAMULA BALA SOWRYAMMA,Independent
226,Andhra Pradesh,Machilipatnam(11),lost,1235,( -723204),ANUSHA YERUVA,Independent
227,Andhra Pradesh,Machilipatnam(11),lost,1111,( -723328),GUDAVALLI VENKATA KEDARESWARA RAO,Independent
228,Andhra Pradesh,Machilipatnam(11),lost,1022,( -723417),JOGI VEERANJANEYULU,Independent
229,Andhra Pradesh,Machilipatnam(11),lost,930,( -723509),DAMODARA RAO GUDAVALLI,Independent
230,Andhra Pradesh,Machilipatnam(11),lost,626,( -723813),APPARAO ENNETI,Independent
231,Andhra Pradesh,Machilipatnam(11),,12126,( -712313),NOTA,None of the Above
232,West Bengal,Maldaha Dakshin(8),won,572395,(+ 128368),ISHA KHAN CHOUDHURY,Indian National Congress
233,West Bengal,Maldaha Dakshin(8),lost,444027,( -128368),SREERUPA MITRA CHAUDHURY (NIRBHAYA DIDI),Bharatiya Janata Party
234,West Bengal,Maldaha Dakshin(8),lost,301026,( -271369),SHAHNAWAZ ALI RAIHAN,All India Trinamool Congress
235,West Bengal,Maldaha Dakshin(8),lost,8383,( -564012),PURNOCHANDRA MANDAL,Independent
236,West Bengal,Maldaha Dakshin(8),lost,5736,( -566659),AHMED HEDATUL HASAN,Independent
237,West Bengal,Maldaha Dakshin(8),lost,5386,( -567009),MD. JAMAL SAIKH,Independent
238,West Bengal,Maldaha Dakshin(8),lost,5065,( -567330),BIKASH RABIDAS,Bahujan Samaj Party
239,West Bengal,Maldaha Dakshin(8),lost,4776,( -567619),BIJOY KUMAR SARKAR,Independent
240,West Bengal,Maldaha Dakshin(8),lost,3535,( -568860),SUSMITA DEY KARJEE,Bhartiya Lokmat Rashtrwadi Party
241,West Bengal,Maldaha Dakshin(8),lost,3271,( -569124),AMAL KUMAR RABIDAS,Independent
242,West Bengal,Maldaha Dakshin(8),lost,3140,( -569255),KAVIR MADAN DAS,Ambedkarite Party of India
243,West Bengal,Maldaha Dakshin(8),lost,2788,( -569607),ASIM MANDAL,Jan Sangh Party
244,West Bengal,Maldaha Dakshin(8),lost,2323,( -570072),MD SHAHNAWAJ RAHMATULLAH,Social Democratic Party Of India
245,West Bengal,Maldaha Dakshin(8),lost,2075,( -570320),JALALUDDIN SARKAR,Bharatiya Nyay-Adhikar Raksha Party
246,West Bengal,Maldaha Dakshin(8),lost,1189,( -571206),ANGSHUDHAR MANDAL,Socialist Unity Centre Of India (COMMUNIST)
247,West Bengal,Maldaha Dakshin(8),lost,1136,( -571259),MD NUR ISLAM SEKH,Rashtriya Secular Majlis Party
248,West Bengal,Maldaha Dakshin(8),lost,741,( -571654),MD MONIRUL HASAN,Jamat-E-Seratul Mustakim
249,West Bengal,Maldaha Dakshin(8),,2797,( -569598),NOTA,None of the Above
250,Andhra Pradesh,Kakinada(6),won,729699,(+ 229491),TANGELLA UDAY SRINIVAS  (TEA TIME UDAY),Janasena Party
251,Andhra Pradesh,Kakinada(6),lost,500208,( -229491),CHALAMALASETTY SUNIL,Yuvajana Sramika Rythu Congress Party
252,Andhra Pradesh,Kakinada(6),lost,21109,( -708590),MALLIPUDI MANGAPATI PALLAM RAJU,Indian National Congress
253,Andhra Pradesh,Kakinada(6),lost,15703,( -713996),UDAY,Navarang Congress Party
254,Andhra Pradesh,Kakinada(6),lost,11979,( -717720),KANDREGULA NARASIMHAM,Bahujan Samaj Party
255,Andhra Pradesh,Kakinada(6),lost,9854,( -719845),DR ANUSHA YADAV,Bharatha Chaitanya Yuvajana Party
256,Andhra Pradesh,Kakinada(6),lost,6559,( -723140),TANGELLA SRINIVASU,Jatiya Jana Sena Party
257,Andhra Pradesh,Kakinada(6),lost,3927,( -725772),YEDIDA VARA PRASAD KUMAR,Republican Party of India (A)
258,Andhra Pradesh,Kakinada(6),lost,2823,( -726876),BUGATHA BANGARRAO,Communist Party of India  (Marxist-Leninist)  (Liberation)
259,Andhra Pradesh,Kakinada(6),lost,2647,( -727052),SUDHA VEERA GANESH,Independent
260,Andhra Pradesh,Kakinada(6),lost,1969,( -727730),BHAVANI SANKAR PRASAD MERLA,Independent
261,Andhra Pradesh,Kakinada(6),lost,1780,( -727919),YENUGUPALLI KRISHNA,Jaibhim Rao Bharat Party
262,Andhra Pradesh,Kakinada(6),lost,1687,( -728012),BODDETI APPARAO,Independent
263,Andhra Pradesh,Kakinada(6),lost,1412,( -728287),NEELAKANTAM DONAM,Independent
264,Andhra Pradesh,Kakinada(6),lost,1227,( -728472),PASUPULETI S.V.S.BHUSHANAM,Independent
265,Andhra Pradesh,Kakinada(6),,17220,( -712479),NOTA,None of the Above
266,Arunachal Pradesh,Arunachal West(1),won,205417,(+ 100738),KIREN RIJIJU,Bharatiya Janata Party
267,Arunachal Pradesh,Arunachal West(1),lost,104679,( -100738),NABAM TUKI,Indian National Congress
